model,lead_group,stratum_type,stratum,n,coverage68,wilson68_lo,wilson68_hi,coverage90,wilson90_lo,wilson90_hi,truth
gfs_seamless,4-7,city_group,Centre-south,924,0.6331168831168831,0.6015497651527894,0.6635817372663887,0.8971861471861472,0.8759302297101912,0.9151531962071937,era5
gfs_seamless,4-7,city_group,Coquimbo coast,168,0.7916666666666666,0.7240770880949068,0.8462160218332164,0.9345238095238095,0.8865712424972371,0.9630491049467017,era5
gfs_seamless,4-7,city_group,Coquimbo interior,588,0.7346938775510204,0.6975688990039466,0.7687722061320432,0.8996598639455783,0.8727212560666565,0.9214103360127465,era5
icon_seamless,all,all,all cases,2646,0.6806500377928949,0.6626347816441802,0.6981415194419993,0.9002267573696145,0.888220876992962,0.9110722252042436,era5
icon_seamless,all,forecast_bin,f = 0,1146,0.9973821989528796,0.9923317089770407,0.9991093207359851,0.9991273996509599,0.9950738221653286,0.9998459480028306,era5
icon_seamless,all,forecast_bin,0 < f < 10,672,0.6547619047619048,0.6180266038979909,0.6897378832707859,0.9642857142857143,0.9474089987498465,0.9758844627564839,era5
icon_seamless,all,forecast_bin,f >= 10,828,0.2632850241545894,0.23442932895574303,0.2943270274211293,0.711352657004831,0.6795680152406365,0.7411852379942989,era5
icon_seamless,all,city_group,Centre-south,1386,0.6118326118326118,0.5859009290265745,0.6371460940846253,0.9011544011544012,0.8843157509431174,0.915775506152541,era5
icon_seamless,all,city_group,Coquimbo coast,252,0.7817460317460317,0.7267244463086153,0.828306785224052,0.9246031746031746,0.8852524106277377,0.9512031073158598,era5
icon_seamless,all,city_group,Coquimbo interior,882,0.7448979591836735,0.7151101359676457,0.7725617783109664,0.8877551020408163,0.8652183097653333,0.906928887842469,era5
icon_seamless,1-3,all,all cases,1323,0.6825396825396826,0.6569591083996038,0.7070632823442258,0.9002267573696145,0.8829006358710266,0.915235413399606,era5
icon_seamless,1-3,forecast_bin,f = 0,608,0.9983552631578947,0.9907430547293019,0.9997096045396909,0.9983552631578947,0.9907430547293019,0.9997096045396909,era5
icon_seamless,1-3,forecast_bin,0 < f < 10,328,0.6280487804878049,0.5745430532660839,0.6785898743770767,0.9512195121951219,0.9222383743295662,0.9697538468891905,era5
icon_seamless,1-3,forecast_bin,f >= 10,387,0.23255813953488372,0.19322147994821498,0.27715200450122063,0.7028423772609819,0.6554973506074374,0.7462000549067588,era5
icon_seamless,1-3,city_group,Centre-south,693,0.6392496392496393,0.6028187968560601,0.6741452062757869,0.9177489177489178,0.8949171920961985,0.9359748172993421,era5
icon_seamless,1-3,city_group,Coquimbo coast,126,0.7619047619047619,0.6804874332978341,0.8278247850694802,0.9047619047619048,0.8408950435861884,0.9446783847996609,era5
icon_seamless,1-3,city_group,Coquimbo interior,441,0.7165532879818595,0.6727616165337014,0.7566048379337713,0.8707482993197279,0.8362074607827176,0.8988858932008609,era5
icon_seamless,4-7,all,all cases,1323,0.6787603930461074,0.6531122114352643,0.7033734838480306,0.9002267573696145,0.8829006358710266,0.915235413399606,era5
icon_seamless,4-7,forecast_bin,f = 0,538,0.9962825278810409,0.986548188107657,0.998979942394786,1.0,0.9929103636897273,1.0,era5
icon_seamless,4-7,forecast_bin,0 < f < 10,344,0.6802325581395349,0.6291896292133998,0.7272946162207137,0.9767441860465116,0.9547885059899477,0.9881698206422234,era5
icon_seamless,4-7,forecast_bin,f >= 10,441,0.29024943310657597,0.2498440627498691,0.33427743423189854,0.7188208616780045,0.6751105345334243,0.7587519037504615,era5
icon_seamless,4-7,city_group,Centre-south,693,0.5844155844155844,0.5473564934889085,0.6205439643682215,0.8845598845598845,0.8586194872318519,0.906260376339518,era5
icon_seamless,4-7,city_group,Coquimbo coast,126,0.8015873015873016,0.7234902992780815,0.8618389218721593,0.9444444444444444,0.8897591861904357,0.9728312449783401,era5
icon_seamless,4-7,city_group,Coquimbo interior,441,0.7732426303854876,0.7318995020198243,0.8098665478579813,0.9047619047619048,0.8737651846068627,0.9287679266229157,era5
best_match,all,all,all cases,3066,0.680365296803653,0.6636416906916444,0.6966375011865727,0.8998695368558383,0.8887388792333474,0.9099994376612169,gauge
best_match,all,forecast_bin,f = 0,1306,0.9777947932618682,0.9682916718898559,0.9844953937034767,0.996937212863706,0.9921513073251809,0.9988083169858335,gauge
