metric,model,lead_days,truth_a,truth_b,n,n_cities,n_dates,value_grid,value_gauge,difference,bootstrap_se,sigma,verdict,sign_flip,value_era5
mae_mm,ecmwf_ifs025,4,grid,era5,441,21,21,7.405895691609977,,0.11519274376417243,0.3717412020231855,0.30987349031326333,robust,False,7.290702947845805
bias_mm,ecmwf_ifs025,4,grid,era5,441,21,21,-1.0108843537414964,,0.23900226757369647,0.7612969074120444,0.313940941105569,robust,False,-1.249886621315193
pod,ecmwf_ifs025,4,grid,era5,441,21,21,0.8079470198675497,,0.014613686534216352,0.011433124790455428,1.278188317022142,robust,False,0.7933333333333333
far,ecmwf_ifs025,4,grid,era5,441,21,21,0.1527777777777778,,-0.020833333333333315,0.03623001407885004,0.5750296781003783,robust,False,0.1736111111111111
mae_mm,ecmwf_ifs025,5,grid,era5,441,21,21,7.25873015873016,,-0.1210884353741486,0.3198144942824059,0.378620849082668,robust,False,7.379818594104308
bias_mm,ecmwf_ifs025,5,grid,era5,441,21,21,-0.7761904761904763,,0.23900226757369603,0.7555957218300688,0.31630971519376455,robust,False,-1.0151927437641723
pod,ecmwf_ifs025,5,grid,era5,441,21,21,0.847682119205298,,0.007682119205298044,0.010725504788742735,0.7162477996710267,robust,False,0.84
far,ecmwf_ifs025,5,grid,era5,441,21,21,0.16883116883116883,,-0.012987012987012991,0.03576292752444018,0.363141775184309,robust,False,0.18181818181818182
mae_mm,ecmwf_ifs025,6,grid,era5,441,21,21,10.15736961451247,,0.3160997732426285,0.4390641090570576,0.7199399056358543,robust,False,9.841269841269842
bias_mm,ecmwf_ifs025,6,grid,era5,441,21,21,-0.7387755102040813,,0.23900226757369658,0.7816858652816684,0.3057523209628152,robust,False,-0.9777777777777779
pod,ecmwf_ifs025,6,grid,era5,441,21,21,0.8079470198675497,,0.0012803532008830443,0.01203558361673803,0.10638064938558042,robust,False,0.8066666666666666
far,ecmwf_ifs025,6,grid,era5,441,21,21,0.2947976878612717,,-0.005780346820809246,0.029511727153121982,0.19586609725746787,robust,False,0.30057803468208094
mae_mm,ecmwf_ifs025,7,grid,era5,441,21,21,10.502947845804988,,-0.10566893424036294,0.5037210172558069,0.2097767030171398,robust,False,10.60861678004535
bias_mm,ecmwf_ifs025,7,grid,era5,441,21,21,-1.263945578231292,,0.23900226757369625,0.7758656430349006,0.30804594805720154,robust,False,-1.5029478458049883
pod,ecmwf_ifs025,7,grid,era5,441,21,21,0.7483443708609272,,0.0016777041942604987,0.014541334875345487,0.11537484066232524,robust,False,0.7466666666666667
far,ecmwf_ifs025,7,grid,era5,441,21,21,0.29375,,-0.006249999999999978,0.03416932275662647,0.18291260978498358,robust,False,0.3
mae_mm,gfs_seamless,1,grid,era5,441,21,21,6.080725623582766,,0.059863945578231714,0.6482131990053461,0.0923522471774568,robust,False,6.020861678004534
bias_mm,gfs_seamless,1,grid,era5,441,21,21,-2.5455782312925166,,0.23900226757369625,0.785081134523654,0.30443002266091934,robust,False,-2.784580498866213
pod,gfs_seamless,1,grid,era5,441,21,21,0.8410596026490066,,-0.0189403973509934,0.021031054766222922,0.900591889542923,robust,False,0.86
far,gfs_seamless,1,grid,era5,441,21,21,0.05223880597014925,,0.01492537313432836,0.02715427603408912,0.5496509321622585,robust,False,0.03731343283582089
mae_mm,gfs_seamless,2,grid,era5,441,21,21,6.240362811791384,,-0.17097505668934243,0.6568294945656793,0.2603035614324805,robust,False,6.411337868480726
bias_mm,gfs_seamless,2,grid,era5,441,21,21,-3.0149659863945577,,0.23900226757369625,0.7713580565617516,0.30984607672216974,robust,False,-3.253968253968254
pod,gfs_seamless,2,grid,era5,441,21,21,0.7350993377483444,,-0.02490066225165566,0.025065469160265277,0.9934249421961399,robust,False,0.76
far,gfs_seamless,2,grid,era5,441,21,21,0.0975609756097561,,0.024390243902439032,0.023692690529262764,1.0294417120889974,robust,False,0.07317073170731707
mae_mm,gfs_seamless,3,grid,era5,441,21,21,6.75578231292517,,0.2226757369614516,0.2894825614731815,0.7692198653633957,robust,False,6.533106575963719
bias_mm,gfs_seamless,3,grid,era5,441,21,21,-2.0528344671201815,,0.23900226757369625,0.7842613705232362,0.304748233888201,robust,False,-2.2918367346938777
pod,gfs_seamless,3,grid,era5,441,21,21,0.7682119205298014,,-0.03845474613686528,0.02481133831229374,1.5498860098897358,robust,False,0.8066666666666666
